,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
WDR76,WDR76,0.120218401333335,6.77535043033333,1.51551994408477,0.152079495842802,0.27528908458374,-6.39244642020637
FTCD,FTCD,-0.219354913666668,6.82986356983333,-2.77910451612182,0.014871978368996,0.0410555771162947,-4.24848633925282
KLHL21,KLHL21,-0.056976647666664,7.1173627085,-0.719296339697439,0.483893909105108,0.633850871386207,-7.25673821486749
TRAF7,TRAF7,-0.0487044673333328,7.79788252133333,-0.597579484482376,0.559744390948054,0.697630087705505,-7.33978877663
ADCY7,ADCY7,0.049493689000002,7.1399525235,0.592405316013811,0.563106301205371,0.700662719345589,-7.34299773166375
SLC7A8,SLC7A8,-0.212044107666665,6.9560985605,-2.65664833767653,0.0188926087226323,0.0502535660082268,-4.48032274565417
IL11,IL11,0.132053674333337,6.8699198825,1.451810634244,0.168781636531822,0.298228794205055,-6.47961733213106
INTS12,INTS12,-0.0954643486666651,9.513537096,-1.24834190067683,0.232553351645025,0.378258618396122,-6.73894434881513
ANXA11,ANXA11,-0.0859525600000008,7.107566102,-1.1341322258424,0.275947574188423,0.427791741995809,-6.87083079121784
FGL1,FGL1,0.0311528306666675,7.55627817966667,0.382375988441434,0.707973649533856,0.809651050278584,-7.45049934147116
C1QA,C1QA,-0.093891552333333,6.81390298616667,-1.05812744392293,0.308065759419702,0.462780677049498,-6.95276875247815
HIST1H4D,HIST1H4D,-0.107236680999999,6.54299985683333,-1.37539988513002,0.190800257783184,0.326926757488145,-6.58050526142522
RASA4P,RASA4P,0.0975882973333357,7.12218938566667,1.14385012629329,0.272030265200702,0.423603596928065,-6.86001263529391
MOSC2,MOSC2,-0.0771945333333353,6.85793799433333,-0.924146500807216,0.371197978248901,0.527857126819154,-7.08528000097907
ZNF251,ZNF251,-0.118810472666667,7.020524544,-1.44192695023586,0.171505219353786,0.301890399769116,-6.49289537994004
CCDC88B,CCDC88B,-0.0493181859999989,6.712181782,-0.541876605041589,0.59649580204418,0.728705001416997,-7.37293510173887
PHTF2,PHTF2,-0.102604365666665,7.3482374465,-1.07068229245046,0.302577870471607,0.45741485765947,-6.93956427563478
DGAT2,DGAT2,-0.130746584333334,6.73343271516667,-1.36047797087504,0.195363833218771,0.332536379437074,-6.59972641231914
NPHP1,NPHP1,0.217308987666668,6.7444903585,2.50558029475942,0.0253183986930007,0.0638881965061979,-4.76154202535318
MIR1277,MIR1277,-0.142195504333333,6.67506545916667,-1.87215258575168,0.0824064250698798,0.169872662616068,-5.85839939329353
MGC3020,MGC3020,0.0273506470000004,7.5462321685,0.330270314528239,0.746127900025497,0.83658730971723,-7.47016568303614
SCGB3A2,SCGB3A2,0.0782582789999999,6.76837605516667,0.950132223665655,0.358297023100809,0.514914553574992,-7.06080104560115
ZNF765,ZNF765,0.135846330666668,7.08381057633333,1.40350741866184,0.182441011116298,0.3161329993698,-6.54386877717782
STK38L,STK38L,-0.127084344666667,6.75133817033333,-1.48550415154021,0.159766636738782,0.285951892383227,-6.4338539699471
IQCD,IQCD,0.154072775666668,6.63598383383333,1.64000323459295,0.123462641581004,0.234484439490617,-6.21454103224537
TRIAP1,TRIAP1,0.116600590666664,9.26419090266667,1.32690540715273,0.20595625948057,0.346404187504697,-6.64238332551708
CCDC146,CCDC146,-0.164649258999998,6.74400452283333,-2.12008629192295,0.0525127362049454,0.117697182745855,-5.4479258297988
ASTE1,ASTE1,-0.0393007939999972,7.28358049533333,-0.460727890318058,0.652129772919137,0.770902505305496,-7.41564199079113
GAGE2B,GAGE2B,0.133293955333333,6.651921185,1.41756864947316,0.178373631679919,0.311424833398978,-6.52533198003582
